borough,ntaname,food_scrap_drop_off_site,location,hosted_by,open_months,operation_day_hours,notes,borocd,councildist,ct2010,latitude,longitude,precinct,object_id,location_point,_assembly_district,_congress_district,dsny_district,_dsny_section,dsny_zone,senate_district,:@computed_region_efsh_h5xi,:@computed_region_f5dn_yrer,:@computed_region_yeji_bk3q,:@computed_region_92fq_4b7q,:@computed_region_sbqj_enih,website,app_android,app_ios,bbl,bin
Brooklyn,Bay Ridge,4th Avenue Presbyterian Church,"6753 4th Avenue, Brooklyn, NY 11220",4th Avenue Presbyterian Church,Year Round,Every day (Start Time: Dawn - End Time:  Dusk),"No meat, bones, or dairy.",310,47,3012600,40.635514,-74.022767,68,42492,"{'type': 'Point', 'coordinates': [-74.022767, 40.635514]}",51,10,BKS10,BKS101,BKS,17,18180,10,2,44,41,,,,,
Manhattan,East Midtown-Turtle Bay,Dag Hammarskjold Plaza Greenmarket,E 47th St & 2nd Ave,GrowNYC,Year Round,Wednesday (Start Time: 8:00 AM - End Time:  12:30 PM),,106,4,1009000,40.752606,-73.969036,17,42352,"{'type': 'Point', 'coordinates': [-73.969036, 40.752606]}",74,12,MN06,MN063,MN,28,12079,71,4,51,9,grownyc.org/compost,,,,
Manhattan,Hell's Kitchen,Hudson River Park's Pier 84 at W. 44th St.,Pier 84 at W. 44th St. near dog park,Staff at Hudson River Park,Year Round,Every day (Start Time: 7:00 AM - End Time:  7:00 PM),,104,3,1012901,40.76346,-74.00025,18,42320,"{'type': 'Point', 'coordinates': [-74.00025, 40.76346]}",67,12,MN04,MN043,MN,47,,12,4,10,10,https://hudsonriverpark.org/the-park/sustainability/community-compost-program/,,,,
Manhattan,East Midtown-Turtle Bay,58th Street Library FSDO,127 East 58th Street,GrowNYC,Year Round,Wednesdays (Start Time: 7:30 AM - End Time:  1:30 PM),,105,4,1011203,40.76198,-73.9693,18,42313,"{'type': 'Point', 'coordinates': [-73.9693, 40.76198]}",73,12,MN05,MN052,MN,28,12419,11,4,51,10,grownyc.org/compost,,,,
Manhattan,Tribeca-Civic Center,Tribeca Greenmarket,Greenwich St. & Duane St,GrowNYC,Year Round,Saturday (Start Time: 8:00 AM - End Time:  1:00 PM),,101,1,1003900,40.717424,-74.010793,1,42225,"{'type': 'Point', 'coordinates': [-74.010793, 40.717424]}",66,10,MN01,MN013,MN,27,12076,56,4,32,1,grownyc.org/compost,,,,
Staten Island,St. George-New Brighton,St. George Greenmarket,St. Marks Pl and Hyatt St,NYC Compost Project Hosted by Snug Harbor Cultural Center & Botanical Garden,Year Round,Saturday (Start Time: 8:00 AM - End Time:  1:00 PM),,501,49,5000300,40.641967,-74.077928,120,42185,"{'type': 'Point', 'coordinates': [-74.077928, 40.641967]}",61,11,SI01,SI012,SI,23,10369,4,1,13,74,snug-harbor.org,,,,
Manhattan,Manhattanville-West Harlem,St. Mary's Harlem,"521 W 126th St, New York, NY 10027",GrowNYC,Year Round,Friday (Start Time: 8:30 AM - End Time:  12:30 PM),"No meat, bones, or dairy",109,7,1021900,40.8149687,-73.9560903,26,42170,"{'type': 'Point', 'coordinates': [-73.9560903, 40.8149687]}",70,13,MN09,MN092,MN,30,12424,37,4,23,17,stmarysharlem.org,,,,
Brooklyn,Crown Heights (North),1100 Bergen Street Community Garden,"1107 Bergen Street, Brooklyn, NY 11216",Volunteers at 1100 Bergen Street Community Garden,Year Round,Sunday (Start Time: 10:00 AM - End Time:  3:00 PM),,308,36,3031500,40.67629,-73.94925,77,42146,"{'type': 'Point', 'coordinates': [-73.94925, 40.67629]}",56,9,BKN08,BKN082,BKN,20,17618,16,2,49,49,https://bqlt.org/garden/1100-block-bergen-st-community-garden,,,,
Brooklyn,Prospect Park,Nurture BK,"Prospect Park, West of the entrance on Parkside Av (& Ocean Av)",Nurture BK,Year Round,Sunday (Start Time: 9:00 AM - End Time:  11:00 AM),,355,39,3017700,40.654917,-73.962083,78,42130,"{'type': 'Point', 'coordinates': [-73.962083, 40.654917]}",44,10,,,BKS,20,,13,2,27,50,https://www.instagram.com/nurturebk_compost/,,,,
Brooklyn,Bushwick (West),BK Rot,"1309 Dekalb Ave, Brooklyn, NY 11221 (Know Waste Lands Community Garden)",BK Rot,Year Round,Sunday (Start Time: 12:00 PM - End Time:  3:00 PM),,304,34,3042300,40.697694,-73.925806,83,42082,"{'type': 'Point', 'coordinates': [-73.925806, 40.697694]}",53,7,BKN04,BKN041,BKN,18,18181,42,2,30,53,BKrot.org,,,,
Brooklyn,Fort Greene,Fort Greene Greenmarket,Washington Park and Myrtle Ave,GrowNYC,Year Round,Saturday (Start Time: 9:00 AM - End Time:  2:00 PM),,302,35,3003102,40.69288,-73.97391,88,42501,"{'type': 'Point', 'coordinates': [-73.97391, 40.69288]}",57,7,BKN02,BKN024,BKN,25,16865,68,2,48,55,grownyc.org/compost,,,,
Manhattan,Washington Heights (North),NW Audubon Avenue & West 192nd Street,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",112,10,1027700,40.85571567,-73.92743781,34,42205,"{'type': 'Point', 'coordinates': [-73.92743781, 40.85571567]}",72,13,MN12,MN123,MN,31,13098,47,4,39,22,www.nyc.gov/smartcomposting,https://play.google.com/store/apps/details?id=com.bigbellysolar.nycsmartcompost&pli=408,{'url': 'https://apps.apple.com/us/app/nyc-smart-compost-by-bigbelly/id1596364100'},,
Bronx,Concourse-Concourse Village,NW Gerard Avenue & East 150th Street,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",204,8,2006301,40.81994461,-73.92850801,44,42432,"{'type': 'Point', 'coordinates': [-73.92850801, 40.81994461]}",77,15,BX04,BX041,BX,29,10929,50,5,35,27,www.nyc.gov/smartcomposting,https://play.google.com/store/apps/details?id=com.bigbellysolar.nycsmartcompost&pli=412,{'url': 'https://apps.apple.com/us/app/nyc-smart-compost-by-bigbelly/id1596364104'},,
Bronx,Norwood,NE Hull Avenue & East 207th Street,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",207,11,2042902,40.87534011,-73.87542714,52,42469,"{'type': 'Point', 'coordinates': [-73.87542714, 40.87534011]}",80,15,BX07,BX073,BX,33,11605,24,5,40,34,www.nyc.gov/smartcomposting,https://play.google.com/store/apps/details?id=com.bigbellysolar.nycsmartcompost&pli=439,{'url': 'https://apps.apple.com/us/app/nyc-smart-compost-by-bigbelly/id1596364131'},,
Brooklyn,Bushwick (East),NW Knickerbocker Avenue & Palmetto Street,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",304,37,3043300,40.69656438,-73.91427923,83,42091,"{'type': 'Point', 'coordinates': [-73.91427923, 40.69656438]}",53,7,BKN04,BKN042,BKN,18,13828,42,2,37,53,www.nyc.gov/smartcomposting,https://play.google.com/store/apps/details?id=com.bigbellysolar.nycsmartcompost&pli=143,{'url': 'https://apps.apple.com/us/app/nyc-smart-compost-by-bigbelly/id1596363835'},,
Manhattan,Tribeca-Civic Center,SW of Greenwich St & Harrison ST,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",101,1,1003900,40.71878668,-74.01055042,1,42223,"{'type': 'Point', 'coordinates': [-74.01055042, 40.71878668]}",66,10,MN01,MN013,MN,27,12076,56,4,32,1,www.nyc.gov/smartcomposting,https://play.google.com/store/apps/details?id=com.bigbellysolar.nycsmartcompost&pli=223,{'url': 'https://apps.apple.com/us/app/nyc-smart-compost-by-bigbelly/id1596363915'},,
Manhattan,SoHo-Little Italy-Hudson Square,SW 6 Ave & Dominick St,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",102,1,1003700,40.7248741,-74.00472,1,42237,"{'type': 'Point', 'coordinates': [-74.00472, 40.7248741]}",66,10,MN02,MN021,MN,27,12076,57,4,10,1,www.nyc.gov/smartcomposting,https://play.google.com/store/apps/details?id=com.bigbellysolar.nycsmartcompost&pli=234,{'url': 'https://apps.apple.com/us/app/nyc-smart-compost-by-bigbelly/id1596363926'},,
Manhattan,Hell's Kitchen,NW 10 Ave & W 43 St,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",104,3,1012901,40.76044172,-73.99506115,18,42321,"{'type': 'Point', 'coordinates': [-73.99506115, 40.76044172]}",67,12,MN04,MN043,MN,47,13094,12,4,10,10,www.nyc.gov/smartcomposting,https://play.google.com/store/apps/details?id=com.bigbellysolar.nycsmartcompost&pli=337,{'url': 'https://apps.apple.com/us/app/nyc-smart-compost-by-bigbelly/id1596364029'},,
Brooklyn,Bedford-Stuyvesant (East),NE Lewis Avenue & Bainbridge Street,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",303,36,3029700,40.68065837,-73.93454969,81,42052,"{'type': 'Point', 'coordinates': [-73.93454969, 40.68065837]}",56,8,BKN03,BKN034,BKN,25,13516,69,2,49,52,www.nyc.gov/smartcomposting,https://play.google.com/store/apps/details?id=com.bigbellysolar.nycsmartcompost&pli=82,{'url': 'https://apps.apple.com/us/app/nyc-smart-compost-by-bigbelly/id1596363774'},,
Brooklyn,Bushwick (East),NE Bushwick Avenue & Halsey Street,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",304,37,3040100,40.6870313,-73.91374111,83,42102,"{'type': 'Point', 'coordinates': [-73.91374111, 40.6870313]}",54,7,BKN04,BKN043,BKN,18,17214,42,2,37,53,www.nyc.gov/smartcomposting,https://play.google.com/store/apps/details?id=com.bigbellysolar.nycsmartcompost&pli=128,{'url': 'https://apps.apple.com/us/app/nyc-smart-compost-by-bigbelly/id1596363820'},,
Manhattan,Chelsea-Hudson Yards,SE 7th Avenue & 21st Street,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",104,3,1008700,40.74272368,-73.99655276,13,42336,"{'type': 'Point', 'coordinates': [-73.99655276, 40.74272368]}",75,12,MN04,MN041,MN,28,12074,12,4,10,7,www.nyc.gov/smartcomposting,https://play.google.com/store/apps/details?id=com.bigbellysolar.nycsmartcompost&pli=326,{'url': 'https://apps.apple.com/us/app/nyc-smart-compost-by-bigbelly/id1596364018'},,
Staten Island,Todt Hill-Emerson Hill-Lighthouse Hill-Manor Heights,Grace Foundation,460w Brielle Avenue,Grace Foundation,Year Round,Monday (Start Time: 9:00 AM - End Time:  12:00 PM),,502,50,5018100,40.592723,-74.135113,122,42570,"{'type': 'Point', 'coordinates': [-74.135113, 40.592723]}",63,11,SI02,SI023,SI,24,10700,30,1,14,76,graceofny.org,,,5009550100,5000000
Queens,Queensbridge-Ravenswood-Dutch Kills,NW Queens Plaza North & 21st Street,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",401,26,4002500,40.75290526,-73.94352235,114,42015,"{'type': 'Point', 'coordinates': [-73.94352235, 40.75290526]}",36,7,QW01,QW016,QW,59,16858,39,3,33,72,www.nyc.gov/smartcomposting,https://play.google.com/store/apps/details?id=com.bigbellysolar.nycsmartcompost&pli=205,{'url': 'https://apps.apple.com/us/app/nyc-smart-compost-by-bigbelly/id1596363897'},,
Brooklyn,Brownsville,Iso Student Farm,"514 Rockaway Avenue, Brooklyn, NY 11212",Volunteers at Isabahlia LOE Foundation,April - October,Friday and Saturday (Start Time: 9:00 AM - End Time:  1:00 PM),,316,41,3092400,40.6674207,-73.9102833,73,42482,"{'type': 'Point', 'coordinates': [-73.9102833, 40.6674207]}",55,8,BKN16,BKN162,BKN,25,17614,55,2,17,46,https://www.isabahlialoefinc.org/,,,,
Brooklyn,Bushwick (East),NW Central Avenue & Green Avenue,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",304,37,3041900,40.69608852,-73.92145414,83,42089,"{'type': 'Point', 'coordinates': [-73.92145414, 40.69608852]}",53,7,BKN04,BKN042,BKN,18,18181,42,2,37,53,www.nyc.gov/smartcomposting,https://play.google.com/store/apps/details?id=com.bigbellysolar.nycsmartcompost&pli=121,{'url': 'https://apps.apple.com/us/app/nyc-smart-compost-by-bigbelly/id1596363813'},,
Manhattan,Financial District-Battery Park City,NE Broadway & Beaver Street,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",101,1,1000900,40.70507539,-74.01322458,1,42218,"{'type': 'Point', 'coordinates': [-74.01322458, 40.70507539]}",65,10,MN01,MN011,MN,27,11725,56,4,32,1,www.nyc.gov/smartcomposting,https://play.google.com/store/apps/details?id=com.bigbellysolar.nycsmartcompost&pli=222,{'url': 'https://apps.apple.com/us/app/nyc-smart-compost-by-bigbelly/id1596363914'},,
Brooklyn,Crown Heights (North),NE Schenectady Avenue & Dean Street,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",308,36,3030900,40.67613038,-73.93318009,77,42162,"{'type': 'Point', 'coordinates': [-73.93318009, 40.67613038]}",56,9,BKN08,BKN083,BKN,20,17615,16,2,49,49,www.nyc.gov/smartcomposting,https://play.google.com/store/apps/details?id=com.bigbellysolar.nycsmartcompost&pli=179,{'url': 'https://apps.apple.com/us/app/nyc-smart-compost-by-bigbelly/id1596363871'},,
Manhattan,Upper West Side (Central),NW Broadway & W 78 St,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",107,6,1016700,40.78331643,-73.98062197,20,42400,"{'type': 'Point', 'coordinates': [-73.98062197, 40.78331643]}",67,12,MN07,MN072,MN,47,12421,20,4,19,12,www.nyc.gov/smartcomposting,https://play.google.com/store/apps/details?id=com.bigbellysolar.nycsmartcompost&pli=365,{'url': 'https://apps.apple.com/us/app/nyc-smart-compost-by-bigbelly/id1596364057'},,
Brooklyn,Bedford-Stuyvesant (East),NW Malcolm X Boulevard & Lafayette Avenue,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",303,36,3028900,40.69236338,-73.93096961,81,42047,"{'type': 'Point', 'coordinates': [-73.93096961, 40.69236338]}",56,8,BKN03,BKN034,BKN,25,18181,69,2,49,52,www.nyc.gov/smartcomposting,https://play.google.com/store/apps/details?id=com.bigbellysolar.nycsmartcompost&pli=104,{'url': 'https://apps.apple.com/us/app/nyc-smart-compost-by-bigbelly/id1596363796'},,
Queens,Astoria (East)-Woodside (North),SE 38th Street & 31st Avenue,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",401,22,4015500,40.76149921,-73.91796863,114,41988,"{'type': 'Point', 'coordinates': [-73.91796863, 40.76149921]}",36,14,QW01,QW014,QW,12,16860,39,3,4,72,www.nyc.gov/smartcomposting,https://play.google.com/store/apps/details?id=com.bigbellysolar.nycsmartcompost&pli=141,{'url': 'https://apps.apple.com/us/app/nyc-smart-compost-by-bigbelly/id1596363833'},,
Bronx,Tremont,SW Bathgate Avenue & East 182 Street,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",206,15,2039500,40.85323679,-73.89310654,48,42455,"{'type': 'Point', 'coordinates': [-73.89310654, 40.85323679]}",86,15,BX06,BX061,BX,32,10935,35,5,22,31,www.nyc.gov/smartcomposting,https://play.google.com/store/apps/details?id=com.bigbellysolar.nycsmartcompost&pli=430,{'url': 'https://apps.apple.com/us/app/nyc-smart-compost-by-bigbelly/id1596364122'},,
Manhattan,Murray Hill-Kips Bay,NW of Lexington Ave & E 38 St,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",106,4,1008000,40.74913401,-73.97793704,17,42353,"{'type': 'Point', 'coordinates': [-73.97793704, 40.74913401]}",73,12,MN06,MN062,MN,28,12078,71,4,51,9,www.nyc.gov/smartcomposting,https://play.google.com/store/apps/details?id=com.bigbellysolar.nycsmartcompost&pli=277,{'url': 'https://apps.apple.com/us/app/nyc-smart-compost-by-bigbelly/id1596363969'},,
Manhattan,Upper East Side-Yorkville,SE E 92 St & 2 Ave,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",108,5,1015402,40.78160945,-73.94892746,19,42294,"{'type': 'Point', 'coordinates': [-73.94892746, 40.78160945]}",76,12,MN08,MN085,MN,29,10099,23,4,1,11,www.nyc.gov/smartcomposting,https://play.google.com/store/apps/details?id=com.bigbellysolar.nycsmartcompost&pli=256,{'url': 'https://apps.apple.com/us/app/nyc-smart-compost-by-bigbelly/id1596363948'},,
Manhattan,East Village,La Plaza Cultural Community Garden,674 East 9th Street,La Plaza Cultural Community Garden,April-November,Saturday and Sunday (Start Time: 2:00 PM - End Time:  4:00 PM),Please carefully read instructions here: https://bit.ly/laplazadropoff,103,2,1002602,40.72534977,-73.97862785,9,42262,"{'type': 'Point', 'coordinates': [-73.97862785, 40.72534977]}",74,10,MN03,MN034,MN,27,11729,70,4,50,5,https://bit.ly/laplazadropoff,,,,
Queens,Baisley Park,South Jamaica Infinity Garden,"150-04 115 Dr, Jamaica, NY, 11434",South Jamaica Infinity Garden,May - October,Sun& Weds (Start Time: Sun: 10:30AM - End Time:  Sun: 11:30AM),,412,28,4027200,40.683367,-73.7922279,113,42565,"{'type': 'Point', 'coordinates': [-73.7922279, 40.683367]}",32,5,QE12,QE125,QE,10,24669,41,3,46,71,,,,,
Brooklyn,Bushwick (West),SW St. Nicholas Avenue & Stockholm Street,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",304,37,3044500,40.70496647,-73.91751361,83,42121,"{'type': 'Point', 'coordinates': [-73.91751361, 40.70496647]}",53,7,BKN04,BKN041,BKN,18,13828,42,2,37,53,www.nyc.gov/smartcomposting,https://play.google.com/store/apps/details?id=com.bigbellysolar.nycsmartcompost&pli=151,{'url': 'https://apps.apple.com/us/app/nyc-smart-compost-by-bigbelly/id1596363843'},,
Bronx,Fordham Heights,SE Field Place & Morris Avenue,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",205,14,2023703,40.8591294,-73.90127487,46,42450,"{'type': 'Point', 'coordinates': [-73.90127487, 40.8591294]}",86,13,BX05,BX052,BX,33,11606,6,5,29,29,www.nyc.gov/smartcomposting,https://play.google.com/store/apps/details?id=com.bigbellysolar.nycsmartcompost&pli=426,{'url': 'https://apps.apple.com/us/app/nyc-smart-compost-by-bigbelly/id1596364118'},,
Manhattan,Hell's Kitchen,SW 11th Ave & W 57th St,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",104,6,1013502,40.77023256,-73.99164147,18,42323,"{'type': 'Point', 'coordinates': [-73.99164147, 40.77023256]}",67,12,MN04,MN043,MN,47,12081,12,4,19,10,www.nyc.gov/smartcomposting,https://play.google.com/store/apps/details?id=com.bigbellysolar.nycsmartcompost&pli=343,{'url': 'https://apps.apple.com/us/app/nyc-smart-compost-by-bigbelly/id1596364035'},,
Staten Island,West New Brighton-Silver Lake-Grymes Hill,SW Campbell Avenue & Henderson Avenue,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",501,49,5010500,40.63714951,-74.11651209,120,42191,"{'type': 'Point', 'coordinates': [-74.11651209, 40.63714951]}",61,11,SI01,SI013,SI,23,10697,4,1,13,74,www.nyc.gov/smartcomposting,https://play.google.com/store/apps/details?id=com.bigbellysolar.nycsmartcompost&pli=215,{'url': 'https://apps.apple.com/us/app/nyc-smart-compost-by-bigbelly/id1596363907'},,
Brooklyn,Bedford-Stuyvesant (East),NW Howard Avenue & Macdonough Street,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",303,41,3037700,40.68381262,-73.92018981,81,42059,"{'type': 'Point', 'coordinates': [-73.92018981, 40.68381262]}",55,8,BKN03,BKN035,BKN,25,13516,69,2,17,52,www.nyc.gov/smartcomposting,https://play.google.com/store/apps/details?id=com.bigbellysolar.nycsmartcompost&pli=102,{'url': 'https://apps.apple.com/us/app/nyc-smart-compost-by-bigbelly/id1596363794'},,
Manhattan,Upper East Side-Lenox Hill-Roosevelt Island,NE E 63 St & 3 Ave,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",108,5,1011000,40.76405417,-73.96450973,19,42301,"{'type': 'Point', 'coordinates': [-73.96450973, 40.76405417]}",73,12,MN08,MN081,MN,28,10090,23,4,51,11,www.nyc.gov/smartcomposting,https://play.google.com/store/apps/details?id=com.bigbellysolar.nycsmartcompost&pli=272,{'url': 'https://apps.apple.com/us/app/nyc-smart-compost-by-bigbelly/id1596363964'},,
Manhattan,Harlem (South),SE West 118 Street & Lenox Avenue,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",110,9,1019000,40.80317005,-73.94863548,28,42368,"{'type': 'Point', 'coordinates': [-73.94863548, 40.80317005]}",70,13,MN10,MN101,MN,30,12423,18,4,36,18,www.nyc.gov/smartcomposting,https://play.google.com/store/apps/details?id=com.bigbellysolar.nycsmartcompost&pli=324,{'url': 'https://apps.apple.com/us/app/nyc-smart-compost-by-bigbelly/id1596364016'},,
Queens,Douglaston-Little Neck,St. Anastasia Roman Catholic Church,246-02 Northern Blvd; Enter the path to the right of the school yard to the student garden,St. Anastasia Roman Catholic Church,Year Round,"Friday and Saturday (Start Time: Friday 8:00 AM, Saturday 12:00 PM - End Time:  Friday 12:00 PM, Saturday 12:30 PM)",,411,19,4150701,40.7657836,-73.7408196,111,42560,"{'type': 'Point', 'coordinates': [-73.7408196, 40.7657836]}",26,3,QE11,QE114,QE,11,14197,26,3,20,69,https://www.sta.nyc/,,,,
Staten Island,St. George-New Brighton,NE Layton Avenue & Jersey Street,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",501,49,5000900,40.6413779,-74.08640362,120,42186,"{'type': 'Point', 'coordinates': [-74.08640362, 40.6413779]}",61,11,SI01,SI012,SI,23,10369,4,1,13,74,www.nyc.gov/smartcomposting,https://play.google.com/store/apps/details?id=com.bigbellysolar.nycsmartcompost&pli=212,{'url': 'https://apps.apple.com/us/app/nyc-smart-compost-by-bigbelly/id1596363904'},,
Brooklyn,Cypress Hills,Cypress Hills Farmstand,"Fulton St, between Logan and Richmond Sts",GrowNYC,Year Round,Friday (Start Time: 10:00 AM - End Time:  1:00 PM),"No meat, bones, or dairy",305,37,3117800,40.68218,-73.87687,75,42514,"{'type': 'Point', 'coordinates': [-73.87687, 40.68218]}",54,7,BKN05,BKN052,BKN,18,17215,45,2,37,47,grownyc.org/compost,,,,
Bronx,Pelham Bay-Country Club-City Island,NW Parkview Avenue & Middletown Road,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",210,13,2026602,40.84505235,-73.82693077,45,42037,"{'type': 'Point', 'coordinates': [-73.82693077, 40.84505235]}",82,14,BX10,BX101,BX,34,11270,43,5,12,28,www.nyc.gov/smartcomposting,https://play.google.com/store/apps/details?id=com.bigbellysolar.nycsmartcompost&pli=75,{'url': 'https://apps.apple.com/us/app/nyc-smart-compost-by-bigbelly/id1596363767'},,
Manhattan,Upper East Side-Lenox Hill-Roosevelt Island,SW West Road & Main Street,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",108,5,1023802,40.76909824,-73.94326508,114,42020,"{'type': 'Point', 'coordinates': [-73.94326508, 40.76909824]}",76,12,MN08,,MN,28,13099,23,4,1,72,www.nyc.gov/smartcomposting,https://play.google.com/store/apps/details?id=com.bigbellysolar.nycsmartcompost&pli=260,{'url': 'https://apps.apple.com/us/app/nyc-smart-compost-by-bigbelly/id1596363952'},,
Manhattan,East Harlem (North),SE E 123rd Street & 3rd Avenue,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",111,8,1019400,40.80229054,-73.93677324,25,42428,"{'type': 'Point', 'coordinates': [-73.93677324, 40.80229054]}",68,13,MN11,MN113,MN,30,13093,7,4,35,16,www.nyc.gov/smartcomposting,https://play.google.com/store/apps/details?id=com.bigbellysolar.nycsmartcompost&pli=398,{'url': 'https://apps.apple.com/us/app/nyc-smart-compost-by-bigbelly/id1596364090'},,
Brooklyn,Bedford-Stuyvesant (West),NE Bedford Avenue & Hancock Street,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",303,36,3024500,40.68219458,-73.95365641,79,42070,"{'type': 'Point', 'coordinates': [-73.95365641, 40.68219458]}",57,8,BKN03,BKN032,BKN,25,17618,69,2,49,51,www.nyc.gov/smartcomposting,https://play.google.com/store/apps/details?id=com.bigbellysolar.nycsmartcompost&pli=94,{'url': 'https://apps.apple.com/us/app/nyc-smart-compost-by-bigbelly/id1596363786'},,
Brooklyn,Bushwick (East),NE Bushwick Avenue & Vanderveer Street,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",304,37,3040500,40.68161005,-73.9039715,83,42098,"{'type': 'Point', 'coordinates': [-73.9039715, 40.68161005]}",54,7,BKN04,BKN043,BKN,18,17214,42,2,37,53,www.nyc.gov/smartcomposting,https://play.google.com/store/apps/details?id=com.bigbellysolar.nycsmartcompost&pli=126,{'url': 'https://apps.apple.com/us/app/nyc-smart-compost-by-bigbelly/id1596363818'},,
Queens,Long Island City-Hunters Point,Astoria Pug: Hunter's Point,46th Avenue and 5th Street,Astoria Pug,Year Round,Tuesday (Start Time: 9:00 AM - End Time:  12:00 PM),,402,26,4000103,40.74777,-73.95486,108,42533,"{'type': 'Point', 'coordinates': [-73.95486, 40.74777]}",36,7,QW02,QW023,QW,59,16858,53,3,33,66,https://www.instagram.com/astoriapug/?hl=en,,,,
Manhattan,Tribeca-Civic Center,SE Varick St. & Franklin St.,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",101,1,1003300,40.71904232,-74.00695324,1,42230,"{'type': 'Point', 'coordinates': [-74.00695324, 40.71904232]}",66,10,MN01,MN013,MN,27,12076,56,4,32,1,www.nyc.gov/smartcomposting,https://play.google.com/store/apps/details?id=com.bigbellysolar.nycsmartcompost&pli=230,{'url': 'https://apps.apple.com/us/app/nyc-smart-compost-by-bigbelly/id1596363922'},,
